"UniqueID","Probability1"
11862,0.152
11863,0.274
11864,0.166
11865,0.964
11866,0.266
11867,0.25
11868,0.402
11869,0.07
11870,0.124
11871,0.964
11872,0.282
11873,0.324
11874,0.334
11875,0.888
11876,0.28
11877,0.572
11878,0.53
11879,0.236
11880,0.26
11881,0.746
11882,0.08
11883,0.1
11884,0.172
11885,0.192
11886,0.04
11887,0.378
11888,0.138
11889,0.14
11890,0.072
11891,0.896
11892,0.2
11893,0.58
11894,0.278
11895,0.258
11896,0.256
11897,0.28
11898,0.2
11899,0.214
11900,0.076
11901,0.588
11902,0.612
11903,0.254
11904,0.244
11905,0.168
11906,0.97
11907,0.238
11908,0.288
11909,0.172
11910,0.03
11911,0.082
11912,0.068
11913,1
11914,0.384
11915,0.276
11916,0.202
11917,0.342
11918,0.802
11919,0.098
11920,0.108
11921,0.046
11922,0.948
11923,0.926
11924,0.464
11925,0.986
11926,0.33
11927,0.982
11928,0.11
11929,0.264
11930,1
11931,0.284
11932,0.14
11933,0.862
11934,0.208
11935,0.166
11936,0.154
11937,0.998
11938,0.566
11939,0.126
11940,0.732
11941,0.56
11942,0.774
11943,0.004
11944,0.696
11945,0.974
11946,0.968
11947,0.856
11948,0.32
11949,0.99
11950,0.812
11951,0.22
11952,0.386
11953,0.93
11954,0.18
11955,0.962
11956,1
11957,0.644
11958,0.064
11959,0.85
11960,0.834
11961,0.854
11962,0.142
11963,0.2
11964,0.136
11965,0.22
11966,0.864
11967,0.978
11968,0.866
11969,0.656
11970,0.882
11971,0.65
11972,0.96
11973,0.972
11974,0.926
11975,0.826
11976,0.53
11977,0.842
11978,0.412
11979,0.996
11980,0.852
11981,0.972
11982,0.886
11983,0.996
11984,0.944
11985,1
11986,0.402
11987,0.966
11988,0.074
11989,0.996
11990,0.958
11991,0.996
11992,0.716
11993,0.724
11994,0.264
11995,0.806
11996,0.822
11997,0.492
11998,0.136
11999,0.384
12000,0.978
12001,0.818
12002,0.974
12003,0.742
12004,0.86
12005,0.972
12006,0.91
12007,0.986
12008,0.406
12009,0.648
12010,0.956
12011,0.992
12012,0.314
12013,0.146
12014,0.61
12015,0.818
12016,0.464
12017,0.996
12018,0.996
12019,0.968
12020,0.972
12021,0.99
12022,0.976
12023,0.962
12024,0.188
12025,0.898
12026,0.996
12027,0.966
12028,0.612
12029,0.608
12030,0.998
12031,0.71
12032,0.726
12033,0.466
12034,0.802
12035,0.038
12036,0.242
12037,0.472
12038,0.204
12039,0.862
12040,0.102
12041,0.842
12042,0.652
12043,0.286
12044,0.646
12045,0.498
12046,0.76
12047,0.19
12048,0.98
12049,0.99
12050,0.074
12051,0.896
12052,0.106
12053,0.672
12054,0.098
12055,0.986
12056,0.908
12057,0.21
12058,0.73
12059,0.848
12060,0.35
12061,0.97
12062,0.99
12063,0.714
12064,0.79
12065,0.948
12066,0.702
12067,0.924
12068,0.91
12069,0.098
12070,0.058
12071,0.432
12072,0.95
12073,0.64
12074,0.44
12075,0.438
12076,0.99
12077,0.22
12078,0.33
12079,0.584
12080,0.644
12081,0.788
12082,0.996
12083,0.91
12084,0.86
12085,0.132
12086,0.432
12087,0.84
12088,0.022
12089,0.602
12090,0.886
12091,0.962
12092,0.412
12093,0.692
12094,0.954
12095,0.302
12096,0.582
12097,0.826
12098,0.518
12099,0.42
12100,0.032
12101,0.33
12102,0.77
12103,0.15
12104,0.216
12105,0.986
12106,0.192
12107,0.992
12108,0.554
12109,0.318
12110,0.28
12111,0.884
12112,0.486
12113,0.822
12114,0.996
12115,0.382
12116,0.986
12117,0.82
12118,0.996
12119,0.244
12120,0.276
12121,0.866
12122,0.684
12123,0.994
12124,0.846
12125,0.974
12126,0.974
12127,0.846
12128,0.098
12129,0.878
12130,0.86
12131,0.306
12132,0.494
12133,0.308
12134,0.918
12135,0.142
12136,0.912
12137,0.516
12138,0.732
12139,0.878
12140,0.53
12141,0.492
12142,0.226
12143,0.144
12144,0.066
12145,0.992
12146,0.952
12147,0.906
12148,0.298
12149,0.848
12150,0.184
12151,0.948
12152,0.92
12153,0.262
12154,0.382
12155,0.524
12156,0.736
12157,0.702
12158,0.312
12159,0.262
12160,0.86
12161,0.986
12162,0.786
12163,0.558
12164,0.414
12165,0.242
12166,0.986
12167,0.606
12168,0.944
12169,0.846
12170,0.338
12171,0.042
12172,0.92
12173,0.802
12174,0.62
12175,0.266
12176,0.602
12177,0.918
12178,0.238
12179,0.264
12180,0.558
12181,0.78
12182,0.752
12183,0.912
12184,0.414
12185,0.652
12186,0.588
12187,0.754
12188,0.526
12189,0.64
12190,0.99
12191,0.742
12192,0.602
12193,0.158
12194,0.284
12195,0.24
12196,0.976
12197,0.266
12198,0.252
12199,0.768
12200,0.694
12201,0.982
12202,0.096
12203,0.636
12204,0.524
12205,0.864
12206,0.758
12207,0.25
12208,0.876
12209,0.578
12210,0.038
12211,0.092
12212,0.502
12213,0.92
12214,0.892
12215,0.894
12216,0.004
12217,0.574
12218,0.108
12219,0.49
12220,0.104
12221,0.706
12222,0.208
12223,0.208
12224,0.524
12225,0.222
12226,0.52
12227,0.914
12228,0.772
12229,0.99
12230,0.494
12231,0.85
12232,0.862
12233,0.776
12234,0.996
12235,0.114
12236,0.636
12237,0.866
12238,0.222
12239,0.596
12240,0.994
