"UniqueID","Probability1"
11862,0.15
11863,0.27
11864,0.208
11865,0.928
11866,0.3
11867,0.126
11868,0.366
11869,0.144
11870,0.16
11871,0.952
11872,0.394
11873,0.314
11874,0.396
11875,0.858
11876,0.16
11877,0.554
11878,0.696
11879,0.3
11880,0.276
11881,0.632
11882,0.118
11883,0.04
11884,0.276
11885,0.19
11886,0.084
11887,0.39
11888,0.114
11889,0.17
11890,0.116
11891,0.932
11892,0.212
11893,0.608
11894,0.222
11895,0.194
11896,0.202
11897,0.208
11898,0.256
11899,0.298
11900,0.11
11901,0.632
11902,0.632
11903,0.134
11904,0.136
11905,0.126
11906,0.948
11907,0.086
11908,0.21
11909,0.154
11910,0.076
11911,0.098
11912,0.062
11913,0.996
11914,0.368
11915,0.348
11916,0.17
11917,0.236
11918,0.902
11919,0.154
11920,0.146
11921,0.24
11922,0.944
11923,0.956
11924,0.468
11925,0.998
11926,0.268
11927,0.928
11928,0.314
11929,0.154
11930,0.996
11931,0.452
11932,0.062
11933,0.79
11934,0.288
11935,0.138
11936,0.288
11937,0.994
11938,0.548
11939,0.206
11940,0.66
11941,0.5
11942,0.768
11943,0.006
11944,0.794
11945,0.968
11946,0.922
11947,0.9
11948,0.062
11949,0.986
11950,0.724
11951,0.226
11952,0.384
11953,0.94
11954,0.3
11955,0.946
11956,0.996
11957,0.544
11958,0.086
11959,0.89
11960,0.804
11961,0.806
11962,0.162
11963,0.072
11964,0.224
11965,0.226
11966,0.892
11967,0.99
11968,0.86
11969,0.52
11970,0.928
11971,0.528
11972,0.934
11973,0.974
11974,0.96
11975,0.802
11976,0.484
11977,0.72
11978,0.358
11979,0.984
11980,0.756
11981,0.874
11982,0.812
11983,0.994
11984,0.93
11985,0.996
11986,0.374
11987,0.924
11988,0.14
11989,0.972
11990,0.918
11991,0.982
11992,0.682
11993,0.88
11994,0.266
11995,0.296
11996,0.822
11997,0.466
11998,0.176
11999,0.4
12000,0.99
12001,0.76
12002,0.984
12003,0.978
12004,0.994
12005,0.978
12006,0.758
12007,0.992
12008,0.376
12009,0.58
12010,0.938
12011,0.988
12012,0.294
12013,0.148
12014,0.526
12015,0.76
12016,0.37
12017,0.984
12018,0.992
12019,0.94
12020,0.936
12021,0.984
12022,0.972
12023,0.962
12024,0.258
12025,0.866
12026,0.988
12027,0.948
12028,0.314
12029,0.54
12030,0.996
12031,0.944
12032,0.756
12033,0.356
12034,0.826
12035,0.092
12036,0.316
12037,0.498
12038,0.206
12039,0.6
12040,0.092
12041,0.522
12042,0.594
12043,0.12
12044,0.606
12045,0.426
12046,0.71
12047,0.09
12048,0.956
12049,0.986
12050,0.054
12051,0.838
12052,0.138
12053,0.694
12054,0.154
12055,0.974
12056,0.89
12057,0.158
12058,0.742
12059,0.698
12060,0.378
12061,0.978
12062,0.984
12063,0.656
12064,0.846
12065,0.94
12066,0.61
12067,0.87
12068,0.922
12069,0.118
12070,0.098
12071,0.212
12072,0.98
12073,0.634
12074,0.5
12075,0.486
12076,0.992
12077,0.166
12078,0.354
12079,0.848
12080,0.616
12081,0.774
12082,0.964
12083,0.958
12084,0.9
12085,0.048
12086,0.212
12087,0.936
12088,0.056
12089,0.58
12090,0.926
12091,0.894
12092,0.334
12093,0.66
12094,0.942
12095,0.412
12096,0.522
12097,0.846
12098,0.38
12099,0.444
12100,0.062
12101,0.354
12102,0.784
12103,0.106
12104,0.034
12105,0.98
12106,0.216
12107,0.992
12108,0.49
12109,0.418
12110,0.114
12111,0.818
12112,0.464
12113,0.868
12114,0.994
12115,0.288
12116,0.99
12117,0.35
12118,0.992
12119,0.1
12120,0.276
12121,0.926
12122,0.714
12123,0.964
12124,0.896
12125,0.964
12126,0.994
12127,0.766
12128,0.182
12129,0.898
12130,0.868
12131,0.362
12132,0.528
12133,0.278
12134,0.98
12135,0.132
12136,0.896
12137,0.386
12138,0.656
12139,0.908
12140,0.506
12141,0.418
12142,0.072
12143,0.108
12144,0.1
12145,0.88
12146,0.94
12147,0.872
12148,0.19
12149,0.946
12150,0.204
12151,0.942
12152,0.996
12153,0.18
12154,0.366
12155,0.5
12156,0.85
12157,0.772
12158,0.398
12159,0.162
12160,0.86
12161,0.99
12162,0.804
12163,0.436
12164,0.416
12165,0.356
12166,0.976
12167,0.524
12168,0.956
12169,0.81
12170,0.364
12171,0.056
12172,0.996
12173,0.862
12174,0.728
12175,0.306
12176,0.528
12177,0.93
12178,0.108
12179,0.214
12180,0.51
12181,0.728
12182,0.796
12183,0.734
12184,0.416
12185,0.574
12186,0.542
12187,0.72
12188,0.53
12189,0.58
12190,0.974
12191,0.668
12192,0.49
12193,0.112
12194,0.45
12195,0.212
12196,0.972
12197,0.174
12198,0.43
12199,0.692
12200,0.766
12201,0.97
12202,0.08
12203,0.588
12204,0.49
12205,0.902
12206,0.814
12207,0.308
12208,0.868
12209,0.522
12210,0.052
12211,0.132
12212,0.426
12213,0.996
12214,0.818
12215,0.924
12216,0.018
12217,0.49
12218,0.174
12219,0.332
12220,0.16
12221,0.694
12222,0.228
12223,0.194
12224,0.604
12225,0.078
12226,0.36
12227,0.956
12228,0.864
12229,0.986
12230,0.68
12231,0.82
12232,0.954
12233,0.816
12234,0.984
12235,0.154
12236,0.63
12237,0.952
12238,0.048
12239,0.612
12240,0.986
12241,0.316
12242,0.084
12243,0.108
12244,0.91
12245,0.976
12246,0.304
12247,0.102
12248,0.86
12249,0.642
12250,0.092
12251,0.21
12252,0.298
12253,0.236
12254,0.854
12255,0.138
12256,0.166
12257,0.536
12258,0.196
12259,0.184
12260,0.884
12261,0.354
12262,0.012
12263,0.934
12264,0.978
12265,0.982
12266,0.026
12267,0.098
12268,0.528
12269,0.202
12270,0.622
12271,0.98
12272,0.618
12273,0.444
12274,0.406
12275,0.664
12276,0.138
12277,0.258
12278,0.73
12279,0.16
12280,0.582
12281,0.116
12282,0.138
12283,0.444
12284,0.14
12285,0.364
12286,0.342
12287,0.404
12288,0.242
12289,0.484
12290,0.268
12291,0.532
12292,0.2
12293,0.212
12294,0.106
12295,0.316
12296,0.074
12297,0.732
12298,0.272
12299,0.452
12300,0.04
12301,0.248
12302,0.2
12303,0.466
12304,0.312
12305,0.808
12306,0.144
12307,0.128
12308,0.952
12309,0.264
12310,0.976
12311,0.08
12312,0.192
12313,0.01
12314,0.012
12315,0.252
12316,0.322
12317,0.128
12318,0.158
12319,0.114
12320,0.104
12321,0.104
12322,0.976
12323,0.172
12324,0.832
12325,0.202
12326,0.084
12327,0.284
12328,0.032
12329,0.114
12330,0.042
12331,0.56
12332,0.984
12333,0.044
12334,0.116
12335,0.158
12336,0.152
12337,0.234
12338,0.032
12339,0.46
12340,0.916
12341,0.168
12342,0.08
12343,0.048
12344,0.644
12345,0.294
12346,0.8
12347,0.066
12348,0.898
12349,0.12
12350,0.388
12351,0.006
12352,0.714
12353,0.908
12354,0.936
12355,0.22
12356,0.178
12357,0.424
12358,0.064
12359,0.418
12360,0.104
12361,0.394
12362,0.362
12363,0
12364,0.434
12365,0.074
12366,0.518
12367,0.364
12368,0.342
12369,0.238
12370,0.17
12371,0.174
12372,0.174
12373,0.152
12374,0.974
12375,0.222
12376,0.142
12377,0.088
12378,0.476
12379,0.108
12380,0.178
12381,0.354
12382,0.008
12383,0.192
12384,0.2
12385,0.336
12386,0.062
12387,0.112
12388,0.168
12389,0.2
12390,0.162
12391,0.796
12392,0.99
12393,0.148
12394,0.064
12395,0.008
12396,0.302
12397,0.092
12398,0.248
12399,0.012
12400,0.242
12401,0.01
12402,0.034
12403,0.846
12404,0.012
12405,0.156
12406,0.956
12407,0.3
12408,0.274
12409,0.266
12410,0.034
12411,0.07
12412,0.072
12413,0.844
12414,0.1
12415,0.538
12416,0.208
12417,0.042
12418,0.134
12419,0.152
12420,0.152
12421,0.172
12422,0.032
12423,0.14
12424,0.054
12425,0
12426,0.15
12427,0.072
12428,0.142
12429,0.366
12430,0.204
12431,0.216
12432,0.992
12433,0.212
12434,0.242
12435,0.292
12436,0.324
12437,0.102
12438,0.05
12439,0.28
12440,0.136
12441,0.008
12442,0.008
12443,0.144
12444,0.162
12445,0.064
12446,0.118
12447,0.872
12448,0.744
12449,0.116
12450,0.368
12451,0.048
12452,0.05
12453,0.036
12454,0.102
12455,0.162
12456,0.868
12457,0.046
12458,0.018
12459,0.15
12460,0.072
12461,0.85
12462,0.12
12463,0.426
12464,0.08
12465,0.152
12466,0.462
12467,0.92
12468,0.118
12469,0.096
12470,0.532
12471,0.876
12472,0.242
12473,0.244
12474,0.052
12475,0.076
12476,0.092
12477,0.016
12478,0.046
12479,0.322
12480,0.096
12481,0.15
12482,0.02
12483,0.078
12484,0.168
12485,0.02
12486,0.836
12487,0.664
12488,0.17
12489,0.056
12490,0.79
12491,0.892
12492,0.362
12493,0.908
12494,0.082
12495,0.006
12496,0.522
12497,0.558
12498,0.996
12499,0.344
12500,0.282
12501,0.236
12502,0.536
12503,0.294
12504,0.498
12505,0.304
12506,0.26
12507,0.812
12508,0.114
12509,0.12
12510,0.126
12511,0.266
12512,0.384
12513,0.294
12514,0.19
12515,0.384
12516,0.234
12517,0.148
12518,0.054
12519,0.302
12520,0.078
12521,0.358
12522,0.22
12523,0.084
12524,0.172
12525,0.126
12526,0.136
12527,0.164
12528,0.274
12529,0.168
12530,0.176
12531,0.148
12532,0.13
12533,0.06
12534,0.188
12535,0.404
12536,0.046
12537,0.164
12538,0.014
12539,0.136
12540,0.132
12541,0.038
12542,0.144
12543,0.316
12544,0.044
12545,0.052
12546,0.16
12547,0.214
12548,0.082
12549,0.25
12550,0.378
12551,0.726
12552,0.2
12553,0.472
12554,0.256
12555,0.92
12556,0.96
12557,0.252
12558,0.916
12559,0.976
12560,0.286
12561,0.33
12562,0.32
12563,0.882
12564,0.966
12565,0.342
12566,0.886
12567,0.878
12568,0.988
12569,0.884
12570,0.95
12571,0.916
12572,0.856
12573,0.988
12574,0.272
12575,0.716
